,i_1C (A),rp_neg (m),Eeq_side (V),kappa_film (S/m),epsl_neg,Dl_elect (m^2/s),Ds_neg (m^2/s),i0ref_neg (A/m^2),E_min (V),i0_SEI (A/m^2),csmax_neg(mol/m^3),cl_0(mol/m^3),t_plus,i0ref_metal (A/m^2),sigma_neg,SEI_thickness(m),Capacity loss (%)
1112,1.514852177,3.25613e-06,0.133747823,0.00019147,0.389334131,5.79023e-10,1.37e-14,1.620074203,0.033750178,6.99246e-07,32803.74585,1013.448391,0.262301876,86.19078017,52.99926739,7.11413e-12,0.611036463
1113,4.499592921,2.5642e-06,0.373194932,0.000122748,0.276295587,5.33242e-10,2.8e-14,0.493139065,0.022533955,1.04114e-06,31496.63757,1078.167306,0.420082074,92.32806638,57.05388035,8.99052e-10,1.053548761
1114,4.819804451,2.79412e-06,0.316244955,0.000146564,0.341783837,5.83271e-10,5.49e-14,0.489206071,0.094647319,1.21419e-06,30027.93675,1150.846446,0.315532587,70.38406434,84.16058465,5.3043e-11,1.412439111
1115,4.978245998,8.86362e-06,0.198662413,0.000196525,0.28255884,3.62961e-10,5.39e-14,0.527470676,0.074404915,1.23466e-06,29201.31347,1114.547733,0.351019416,69.4482441,81.32826765,7.39974e-12,3.633968409
1116,4.278769802,2.37912e-06,0.335502028,0.000210279,0.24384996,6.1732e-10,8.08e-14,3.519262035,0.035593881,6.47144e-07,31021.7418,1013.695453,0.422091074,55.23977773,71.0474004,2.19924e-10,0.601073775
1117,1.239150331,8.36504e-06,0.137893358,0.000102805,0.274192729,7.49427e-10,1.39e-14,3.308851846,0.094245199,6.02287e-07,32034.24027,1084.95399,0.381444823,66.45173506,87.84257562,2.40121e-12,2.482374934
1118,4.134299642,4.42446e-06,0.074078541,0.000216101,0.383729304,7.18309e-10,9.75e-14,2.577742679,0.069732779,9.43972e-07,29494.21121,1094.407666,0.256322619,85.42637909,61.11301645,7.35162e-13,0.773761596
1119,2.49797622,9.97639e-06,0.342674513,0.00012801,0.298768186,6.85106e-10,5.77e-14,2.526034973,0.046068307,9.40577e-07,31736.49976,1183.757989,0.270247074,86.38192745,85.00394467,6.04815e-10,1.16230208
1120,4.148067176,2.2238e-06,0.367581098,4.79943e-05,0.278039513,6.41174e-10,7.22e-14,3.511396281,0.075531822,1.36608e-06,32253.46476,1049.629673,0.330228324,74.42723506,70.84134182,4.99225e-10,0.991305186
1121,0.229991388,4.84368e-06,0.24526359,0.000221134,0.25971485,3.40265e-10,2.19e-14,1.559363354,0.090929287,1.3662e-06,30996.47282,1006.143766,0.26757364,84.59325343,88.48293931,3.00096e-10,1.002394876
1122,1.809419225,2.13679e-06,0.232463385,7.76743e-05,0.269727404,6.80751e-10,6.53e-14,0.665827411,0.04397159,6.91076e-07,31667.87461,1084.117002,0.371159277,98.29683679,76.92746105,6.05538e-11,0.487229323
1123,3.007008132,4.48335e-06,0.257444758,8.98133e-05,0.394308844,7.49541e-10,2.04e-14,1.947825635,0.014449247,3.06535e-07,32179.51077,1102.867424,0.399939907,89.08587763,55.01130154,2.36539e-11,0.966468006
1124,6.336585708,1.5686e-06,0.273705205,0.000185492,0.329128548,4.94934e-10,4.77e-14,2.93574867,0.071463737,1.26745e-06,31762.8084,1104.246025,0.26409529,67.38599824,97.93385184,4.84765e-11,0.643403491
1125,1.68146282,3.25944e-06,0.323339276,7.37062e-05,0.361272473,3.44911e-10,4.69e-14,2.921134976,0.077840611,8.75474e-07,29038.42138,1157.162144,0.330223848,91.10690684,96.06926955,1.9829e-10,0.930938953
1126,3.781050649,5.17223e-06,0.20446384,2.15154e-05,0.308727286,7.38161e-10,3.63e-14,1.747340018,0.098557417,1.93962e-07,32925.60915,1158.115162,0.396154286,75.27144604,72.87590445,9.5174e-13,1.722966185
1127,5.370539627,3.11752e-06,0.354238467,0.000168404,0.328218129,5.58318e-10,6.04e-14,3.429906352,0.04365634,3.14027e-07,29170.03881,1116.915388,0.381088377,68.39788871,58.28526968,1.00361e-10,0.709926173
1128,3.889573456,3.76242e-06,0.258445615,1.29275e-05,0.351849791,5.16662e-10,1.99e-14,3.506733479,0.048559972,1.47448e-07,29016.19555,1117.838003,0.334624161,50.48747393,73.59875145,7.939e-12,0.998990794
1129,0.90103556,6.46111e-06,0.285085737,4.90025e-05,0.330090826,7.19916e-10,3.27e-14,3.215788856,0.045877783,4.42646e-07,31689.35046,1169.029788,0.389068845,56.6977966,69.54916267,2.03692e-10,0.646975695
